name,prompt,negative_prompt
Pony-004,"score_9, score_8_up, score_7_up, ultra realistic, high detailed skin, 32k, RAW photo, high quality, photorealistic, realistic, photo, 1girl, hair slicked back, focus upper body, microbikini, latex bikini, large breasts, ",
Pony-005,"score_9, score_8_up, score_7_up, ultra realistic, high detailed skin, 32k, RAW photo, high quality, photorealistic, realistic, photo, 1girl, focus upper body, china dress, double bun, east asian architecture, ",
Pony-006,"score_9, score_8_up, score_7_up, ultra realistic, high detailed skin, 32k, RAW photo, high quality, photorealistic, realistic, photo, 1girl, focus upper body, china dress, large breasts, double bun, east asian architecture, ",
Pony-007,"score_9, score_8_up, score_7_up, ultra realistic, high detailed skin, 32k, RAW photo, high quality, photorealistic, realistic, photo, 1girl, hair slicked back, blunt bangs, micro bikini, large breasts, cow print, thick thighs, sitting, cow horns, cow ears, cowbell, from above, farm ",
Pony-008,"score_9, score_8_up, score_7_up, ultra realistic, high detailed skin, 32k, RAW photo, high quality, photorealistic, realistic, photo, 1girl, nico robin, hair slicked back, blue eyes, cowboy hat, eyewear on head, sunglasses, blunt bangs, large breasts, micro bikini, narrow waist, cow print, jeans, wide hips, sitting, beach, ",
Pony-009,"score_9, score_8_up, score_7_up, ultra realistic, high detailed skin, 32k, RAW photo, high quality, photorealistic, realistic, photo, 1girl, tsunade (naruto), hair hair slicked back, japanese clothes, green kimono, moon, night, cherry blossoms",
Pony-010,"score_9, score_8_up, score_7_up, ultra realistic, high detailed skin, 32k, RAW photo, high quality, photorealistic, realistic, photo, 1girl, makima (chainsaw man), platinum blonde hair, business suit, collared shirt, necktie, shirt tucked in, pants",
S6,"score_9, score_8_up, score_7_up, ultra realistic, high detailed skin, 32k, RAW photo, high quality, photorealistic, realistic, photo, 1girl, asian babes, looking at viewer, high ponytail, shiny skin, huge breasts, underboob, thick thighs, yoga pants, drops of sweat, leaning forward, pastel mint background,","score_4, score_5, score_6, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, bad anatomy, sketch, 2d, 3d, doll, plastic, monochrome, grayscale, lowres, bad hands, deformed hands, disfigured, ugly, poorly drawn face, close up, head out of frame, cropped,"
S5,"score_9, score_8_up, score_7_up, ultra realistic, high detailed skin, 32k, RAW photo, high quality, photorealistic, realistic, photo, 1girl, asian babes, looking at viewer, shiny skin, huge breasts, cow print, micro bikini, thick thighs, neck bell, cow ears, cow horns, lactation, drops of sweat, leaning forward, pastel mint background,","score_4, score_5, score_6, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, bad anatomy, sketch, 2d, 3d, doll, plastic, monochrome, grayscale, lowres, bad hands, deformed hands, disfigured, ugly, poorly drawn face, close up, head out of frame, cropped,"
IL1,"masterpiece, best quality, very aesthetic, absurdres, high resolution, ultra detailed, detailed textures, photorealistic, asian babes, looking at viewer, a portrait of pretty chinese girl, hair ornament, hanfu, purple dress, see-through, wide sleeves, ","worst quality, low quality, bad quality, lowres, jpeg artifacts, grainy, pixelated, blurry, (plastic texture:1.3), bad anatomy, bad proportions, disfigured, deformed, extra limbs, missing limbs, poorly drawn hands, poorly drawn face, signature, watermark, text, logo,"
IL2,"masterpiece, best quality, very aesthetic, absurdres, high resolution, ultra detailed, detailed textures, photorealistic, asian babes, looking at viewer, a portrait of pretty japanese girl, hime cut, floral print, dark green kimono, wide sleeves, ","worst quality, low quality, bad quality, lowres, jpeg artifacts, grainy, pixelated, blurry, (plastic texture:1.3), bad anatomy, bad proportions, disfigured, deformed, extra limbs, missing limbs, poorly drawn hands, poorly drawn face, signature, watermark, text, logo,"
IL3,"masterpiece, best quality, very aesthetic, absurdres, high resolution, ultra detailed, detailed textures, photorealistic, asian babes, a big muscular man giving a pink headed woman a big load of cum in her mouth, dog collar, chinese girl, 1boy, cum, large breasts, penis, long hair, from side, oral, fellatio, testicles, nipples, cumdrip","worst quality, low quality, bad quality, lowres, jpeg artifacts, grainy, pixelated, blurry, (plastic texture:1.3), bad anatomy, bad proportions, disfigured, deformed, extra limbs, missing limbs, poorly drawn hands, poorly drawn face, signature, watermark, text, logo,"
IL4,"masterpiece, best quality, very aesthetic, absurdres, high resolution, ultra detailed, detailed textures, photorealistic, asian babes, looking at viewer, female yakuza, toned body, black hair, hair bun, large breasts, (bandage top:1.3), (tube top, underboob, strapless), katana, tattoo, thick thighs, fighting stance, latex black pants, belt, japanese street, night, rain, water drop, cowboy shot, <lora:MesmerWolfies_BreastSizeSliderIllustrious_v10:1.8> <lora:MesmerWolfies_MuscleSliderIllustrious_v10:0.6> <lora:MesmerWolfies_ThighSizeSliderIllustrious_v10:1.8> <lora:MesmerWolfies_WaistSizeSliderIllustrious_v10:1>","worst quality, low quality, bad quality, lowres, jpeg artifacts, grainy, pixelated, blurry, (plastic texture:1.3), bad anatomy, bad proportions, disfigured, deformed, extra limbs, missing limbs, poorly drawn hands, poorly drawn face, signature, watermark, text, logo, (nipples), (nsfw)"
